exception_id,error_type,source_system,employee_id,grant_id,tranche,severity,root_cause,recommended_action
EXC0037,WITHHOLDING_ROUNDING,BROKER,E00061,G000180,2,Low,Broker and payroll systems differ by less than 1% in calculated withholding due to rounding of fractional cents.,Document as acceptable rounding variance and no action required.
EXC0038,ID_FORMAT_MISMATCH,PAYROLL,00062,G000182,4,Medium,"Grant ID format differs between payroll and other systems, preventing proper matching and reconciliation.",Standardize grant ID format in payroll system to match broker and HRIS records for accurate reconciliation.
EXC0039,MISSING_PAYROLL,PAYROLL,E00063,G000188,2,High,"Payroll record is missing withholding and income data for an active employee's vested shares, creating tax compliance risk.",Obtain missing payroll withholding and income details from broker for grant G000188 tranche 2 and ensure payroll processing is completed.
EXC0040,DUPLICATE_RELEASE,BROKER,E00064,G000190,13,High,"Same grant and tranche appears to have been released twice on broker feed for terminated employee, risking duplicate share and tax leakage.",Reconcile broker transaction logs to identify and reverse the duplicate release; verify no double settlement occurred.
EXC0041,DUPLICATE_RELEASE,BROKER,E00064,G000190,14,High,"Same grant and tranche appears to have been released twice on broker feed for terminated employee, risking duplicate share and tax leakage.",Reconcile broker transaction logs to identify and reverse the duplicate release; verify no double settlement occurred.
EXC0042,STALE_FMV_PAYROLL,PAYROLL,E00064,G000193,3,Medium,"Payroll is using a stale FMV that does not match current broker FMV, potentially understating taxable income for terminated employee.",Update payroll FMV to match broker FMV (119.1) and recalculate withholding to ensure tax compliance for final distribution.
EXC0043,POST_TERM_RELEASE,BROKER,E00064,G000193,6,High,"Broker released shares after employee termination, which may violate vesting rules and create tax compliance exposure.","Confirm post-termination release is authorized per grant agreement; if not, initiate share recovery from broker."
EXC0044,POST_TERM_RELEASE,BROKER,E00065,G000196,3,High,"Broker released shares after employee termination, which may violate vesting rules and create tax compliance exposure.","Confirm post-termination release is authorized per grant agreement; if not, initiate share recovery from broker."
EXC0045,MISSING_PAYROLL,PAYROLL,E00066,G000197,5,High,"Payroll record is missing withholding and income data for an active employee's large vested share lot, creating tax compliance risk.",Obtain missing payroll withholding and income details from broker for grant G000197 tranche 5 and ensure payroll processing is completed.
EXC0046,ID_FORMAT_MISMATCH,PAYROLL,00067,G000201,4,Medium,"Grant ID format differs between payroll and other systems, preventing proper matching and reconciliation.",Standardize grant ID format in payroll system to match broker and HRIS records for accurate reconciliation.
EXC0047,MISSING_PAYROLL,PAYROLL,E00067,G000202,1,High,"Payroll record is missing withholding and income data for an active employee's vested shares, creating tax compliance risk.",Obtain missing payroll withholding and income details from broker for grant G000202 tranche 1 and ensure payroll processing is completed.
EXC0048,DUPLICATE_RELEASE,BROKER,E00067,G000204,5,High,"Same grant and tranche appears to have been released twice on broker feed, risking duplicate share delivery and tax leakage.",Reconcile broker transaction logs to identify and reverse the duplicate release before settlement.
EXC0049,MISSING_PAYROLL,PAYROLL,E00067,G000206,2,High,"Payroll record is missing withholding and income data for an active employee's vested shares, creating tax compliance risk.",Obtain missing payroll withholding and income details from broker for grant G000206 tranche 2 and ensure payroll processing is completed.
EXC0050,STALE_COUNTRY,PAYROLL,E00068,G000207,14,High,Payroll system is using stale country code which may apply incorrect tax withholding rules for this active employee's vested shares.,Update employee's country code in payroll system to match current HRIS record and recalculate tax withholding if applicable.
EXC0051,DUPLICATE_RELEASE,BROKER,E00068,G000207,16,High,"Broker shows duplicate vesting release for grant G000207 tranche 16, risking double-taxation or share leakage.","Verify with broker whether tranche 16 was released twice; if so, reverse one release and recalculate tax withholding."
EXC0052,STALE_FMV_PAYROLL,PAYROLL,E00068,G000208,5,High,"Payroll FMV ($87.837) is stale and does not match broker FMV, causing incorrect tax withholding calculation.",Update payroll FMV to match broker FMV ($87.837) and recalculate tax withholding to correct amount.
EXC0053,STALE_COUNTRY,PAYROLL,E00068,G000208,9,High,"Payroll country code is outdated for grant G000208 tranche 9, affecting tax withholding rules and compliance.",Verify and update employee country of employment in payroll and recalculate tax withholding per current jurisdiction rules.
EXC0054,STALE_COUNTRY,PAYROLL,E00068,G000208,15,High,"Payroll country code is outdated for grant G000208 tranche 15, affecting tax withholding rules and compliance.",Verify and update employee country of employment in payroll and recalculate tax withholding per current jurisdiction rules.
EXC0055,STALE_COUNTRY,PAYROLL,E00068,G000209,5,High,"Payroll country code is outdated for grant G000209 tranche 5, affecting tax withholding rules and compliance.",Verify and update employee country of employment in payroll and recalculate tax withholding per current jurisdiction rules.
EXC0056,ID_FORMAT_MISMATCH,PAYROLL,00068,G000210,5,Medium,Grant ID format mismatch between payroll and broker prevents accurate reconciliation for G000210 tranche 5.,Standardize grant ID format in payroll to match broker format (likely adding leading zeros or changing delimiter).
EXC0057,WITHHOLDING_ROUNDING,BROKER,E00068,G000210,6,Low,Withholding amount differs by less than 1% from calculated value due to rounding in broker system.,Accept rounding variance if within policy tolerance; document as acceptable variance and move forward.
EXC0058,ID_FORMAT_MISMATCH,PAYROLL,00068,G000210,7,Medium,Grant ID format mismatch between payroll and broker prevents accurate reconciliation for G000210 tranche 7.,Standardize grant ID format in payroll to match broker format (likely adding leading zeros or changing delimiter).
EXC0059,ID_FORMAT_MISMATCH,PAYROLL,00069,G000212,5,Medium,Grant ID format mismatch between payroll and broker prevents accurate reconciliation for G000212 tranche 5.,Standardize grant ID format in payroll to match broker format (likely adding leading zeros or changing delimiter).
EXC0060,STALE_COUNTRY,PAYROLL,E00069,G000213,2,High,"Payroll country code is outdated for grant G000213 tranche 2, affecting tax withholding rules and compliance.",Verify and update employee country of employment in payroll and recalculate tax withholding per current jurisdiction rules.
EXC0061,POST_TERM_RELEASE,BROKER,E00071,G000216,3,High,"Broker shows vesting release for terminated employee (G000216 tranche 3), which may violate forfeiture terms or tax rules.","Verify termination date and vesting acceleration rules; if release is invalid, reverse it with broker and adjust payroll."
EXC0062,WITHHOLDING_ROUNDING,BROKER,E00073,G000221,7,Low,Withholding amount differs by less than 1% from calculated value due to rounding in broker system.,Accept rounding variance if within policy tolerance; document as acceptable variance and move forward.
EXC0063,DUPLICATE_RELEASE,BROKER,E00073,G000221,13,High,"Broker shows duplicate vesting release for grant G000221 tranche 13, risking double-taxation or share leakage.","Verify with broker whether tranche 13 was released twice; if so, reverse one release and recalculate tax withholding."
EXC0064,WITHHOLDING_ROUNDING,BROKER,E00074,G000226,7,Low,Withholding amount differs by less than 1% from calculated value due to rounding in broker system.,Accept rounding variance if within policy tolerance; document as acceptable variance and move forward.
EXC0065,WITHHOLDING_ROUNDING,BROKER,E00076,G000233,11,Low,Withholding amount differs by less than 1% from calculated value due to rounding in broker system.,Accept rounding variance if within policy tolerance; document as acceptable variance and move forward.
EXC0066,DUPLICATE_RELEASE,BROKER,E00076,G000234,9,High,"Broker shows duplicate vesting release for grant G000234 tranche 9, risking double-taxation or share leakage.","Verify with broker whether tranche 9 was released twice; if so, reverse one release and recalculate tax withholding."
EXC0067,MISSING_PAYROLL,PAYROLL,E00078,G000239,5,High,"Payroll record is completely missing for grant G000239 tranche 5, creating a compliance gap and tax withholding risk.",Create missing payroll record for G000239 tranche 5 with correct taxable income and withholding amount.
EXC0068,MISSING_PAYROLL,PAYROLL,E00078,G000239,7,High,"Payroll record is completely missing for grant G000239 tranche 7, creating a compliance gap and tax withholding risk.",Create missing payroll record for G000239 tranche 7 with correct taxable income and withholding amount.
EXC0069,DUPLICATE_RELEASE,BROKER,E00078,G000241,1,High,"Broker shows duplicate vesting release for grant G000241 tranche 1, risking double-taxation or share leakage.","Verify with broker whether tranche 1 was released twice; if so, reverse one release and recalculate tax withholding."
EXC0070,MISSING_PAYROLL,PAYROLL,E00080,G000248,1,High,"Payroll record is completely missing for grant G000248 tranche 1, creating a compliance gap and tax withholding risk.",Create missing payroll record for G000248 tranche 1 with correct taxable income and withholding amount.
EXC0071,ID_FORMAT_MISMATCH,PAYROLL,00080,G000248,9,Medium,Grant ID format mismatch between payroll and broker prevents accurate reconciliation for G000248 tranche 9.,Standardize grant ID format in payroll to match broker format (likely adding leading zeros or changing delimiter).
EXC0072,POST_TERM_RELEASE,BROKER,E00084,G000262,3,High,"Broker shows vesting release for terminated employee (G000262 tranche 3), which may violate forfeiture terms or tax rules.","Verify termination date and vesting acceleration rules; if release is invalid, reverse it with broker and adjust payroll."
EXC0073,ID_FORMAT_MISMATCH,PAYROLL,00086,G000269,15,Medium,Grant ID format mismatch between payroll and broker prevents accurate reconciliation for G000269 tranche 15.,Standardize grant ID format in payroll to match broker format (likely adding leading zeros or changing delimiter).
EXC0074,STALE_FMV_PAYROLL,PAYROLL,E00086,G000270,8,High,"Payroll FMV ($134.25) is stale and does not match broker FMV, causing incorrect tax withholding calculation.",Update payroll FMV to match broker FMV ($134.25) and recalculate tax withholding to correct amount.
EXC0075,WITHHOLDING_ROUNDING,BROKER,E00087,G000275,1,Low,Withholding amount differs by less than 1% from calculated value due to rounding in broker system.,Accept rounding variance if within policy tolerance; document as acceptable variance and move forward.
EXC0076,DUPLICATE_RELEASE,BROKER,E00088,G000279,3,High,"Broker reported duplicate vesting release for grant G000279 tranche 3, creating risk of double-counting taxable income and withholding.",Contact broker to verify which release record is authoritative and reverse the duplicate entry in payroll before tax filing.
EXC0077,STALE_FMV_PAYROLL,PAYROLL,E00091,G000286,5,High,"Payroll used stale FMV ($87.837) that does not match broker's current FMV, causing incorrect taxable-income calculation of $3,957.48.",Recalculate payroll taxable income using broker's current FMV and reprocess withholding to ensure compliance.
EXC0078,ID_FORMAT_MISMATCH,PAYROLL,00091,G000287,6,Medium,"Grant ID format in payroll system does not match broker/HRIS format, preventing reliable reconciliation.",Standardize grant ID format in payroll system to match broker and HRIS conventions.
EXC0079,MISSING_PAYROLL,PAYROLL,E00094,G000295,7,High,"Vesting event for grant G000295 tranche 7 has no corresponding payroll record, leaving taxable income and withholding unprocessed.",Create missing payroll record for 82 vested shares at $131.88 FMV and apply appropriate tax withholding immediately.
EXC0080,ID_FORMAT_MISMATCH,PAYROLL,00094,G000296,1,Medium,"Grant ID format in payroll system does not match broker/HRIS format, preventing reliable reconciliation.",Standardize grant ID format in payroll system to match broker and HRIS conventions.
EXC0081,WITHHOLDING_ROUNDING,BROKER,E00094,G000296,10,Low,Rounding difference in withholding calculation between broker and payroll systems (likely $0.01–$0.10 variance).,Document rounding variance and reconcile if it exceeds $1.00; no action needed if immaterial.
EXC0082,DUPLICATE_RELEASE,BROKER,E00097,G000308,10,High,"Broker reported duplicate vesting release for grant G000308 tranche 10, creating risk of double-counting taxable income and withholding.",Contact broker to verify which release record is authoritative and reverse the duplicate entry in payroll before tax filing.
EXC0083,STALE_FMV_PAYROLL,PAYROLL,E00098,G000311,13,High,"Payroll used stale FMV ($87.837) that does not match broker's current FMV, causing incorrect taxable-income calculation of $7,563.18.",Recalculate payroll taxable income using broker's current FMV and reprocess withholding to ensure compliance.
EXC0084,ID_FORMAT_MISMATCH,PAYROLL,00098,G000311,14,Medium,"Grant ID format in payroll system does not match broker/HRIS format, preventing reliable reconciliation.",Standardize grant ID format in payroll system to match broker and HRIS conventions.
EXC0085,MISSING_PAYROLL,PAYROLL,E00098,G000315,5,High,"Vesting event for grant G000315 tranche 5 has no corresponding payroll record, leaving taxable income and withholding unprocessed.",Create missing payroll record for 35 vested shares at $180.25 FMV and apply appropriate tax withholding immediately.
EXC0086,STALE_FMV_PAYROLL,PAYROLL,E00102,G000324,7,High,"Payroll used stale FMV ($119.1) that does not match broker's current FMV, causing incorrect taxable-income calculation of $1,787.10.",Recalculate payroll taxable income using broker's current FMV and reprocess withholding to ensure compliance.
EXC0087,WITHHOLDING_ROUNDING,BROKER,E00106,G000333,3,Medium,Rounding difference in withholding calculation between broker and payroll systems (likely $0.01–$0.10 variance).,Document rounding variance and reconcile if it exceeds $1.00; no action needed if immaterial.
EXC0088,POST_TERM_RELEASE,BROKER,E00106,G000334,11,High,"Broker released shares for terminated employee (grant G000334 tranche 11) after termination date, violating equity-plan terms.","Immediately investigate whether this release is valid per plan documents; if unauthorized, reverse the transaction and recover any proceeds."
EXC0089,MISSING_PAYROLL,PAYROLL,E00111,G000349,3,High,"Vesting event for grant G000349 tranche 3 has no corresponding payroll record, leaving taxable income and withholding unprocessed.",Create missing payroll record for 6 vested shares at $212.17 FMV and apply appropriate tax withholding immediately.
EXC0090,DUPLICATE_RELEASE,BROKER,E00112,G000350,6,High,"Broker reported duplicate vesting release for grant G000350 tranche 6, creating risk of double-counting taxable income and withholding.",Contact broker to verify which release record is authoritative and reverse the duplicate entry in payroll before tax filing.
EXC0091,DUPLICATE_RELEASE,BROKER,E00115,G000363,3,High,"Broker reported duplicate vesting release for grant G000363 tranche 3, creating risk of double-counting taxable income and withholding.",Contact broker to verify which release record is authoritative and reverse the duplicate entry in payroll before tax filing.
EXC0092,ID_FORMAT_MISMATCH,PAYROLL,00116,G000365,7,Medium,"Grant ID format in payroll system does not match broker/HRIS format, preventing reliable reconciliation.",Standardize grant ID format in payroll system to match broker and HRIS conventions.
EXC0093,MISSING_PAYROLL,PAYROLL,E00116,G000366,7,High,"Vesting event for grant G000366 tranche 7 has no corresponding payroll record, leaving taxable income and withholding unprocessed.",Create missing payroll record for 108 vested shares at $119.1 FMV and apply appropriate tax withholding immediately.
EXC0094,POST_TERM_RELEASE,BROKER,E00120,G000379,10,High,"Broker released shares for terminated employee (grant G000379 tranche 10) after termination date, violating equity-plan terms.","Immediately investigate whether this release is valid per plan documents; if unauthorized, reverse the transaction and recover any proceeds."
EXC0095,POST_TERM_RELEASE,BROKER,E00120,G000380,6,High,"Broker released shares for terminated employee (grant G000380 tranche 6) after termination date, violating equity-plan terms.","Immediately investigate whether this release is valid per plan documents; if unauthorized, reverse the transaction and recover any proceeds."
EXC0096,STALE_FMV_PAYROLL,PAYROLL,E00126,G000398,2,High,"Payroll used stale FMV ($131.88) that does not match broker's current FMV for a terminated employee, causing incorrect taxable-income calculation of $5,832.45.","Recalculate payroll taxable income using broker's current FMV and correct withholding, then verify termination-date equity treatment."
EXC0097,POST_TERM_RELEASE,BROKER,E00126,G000398,6,High,"Broker released shares for terminated employee (grant G000398 tranche 6) after termination date, violating equity-plan terms.","Immediately investigate whether this release is valid per plan documents; if unauthorized, reverse the transaction and recover any proceeds."
EXC0098,MISSING_PAYROLL,PAYROLL,E00129,G000403,2,High,"Vesting event for grant G000403 tranche 2 has no corresponding payroll record, leaving taxable income and withholding unprocessed.",Create missing payroll record for 50 vested shares at $22.341 FMV and apply appropriate tax withholding immediately.
EXC0099,POST_TERM_RELEASE,BROKER,E00130,G000409,7,High,"Broker released shares for terminated employee (grant G000409 tranche 7) after termination date, violating equity-plan terms.","Immediately investigate whether this release is valid per plan documents; if unauthorized, reverse the transaction and recover any proceeds."
EXC0100,POST_TERM_RELEASE,BROKER,E00130,G000410,2,High,"Broker released shares for terminated employee (grant G000410 tranche 2) after termination date, violating equity-plan terms.","Immediately investigate whether this release is valid per plan documents; if unauthorized, reverse the transaction and recover any proceeds."
EXC0101,MISSING_PAYROLL,PAYROLL,E00131,G000413,7,High,"Vested RSU shares in broker system lack corresponding payroll tax withholding record, creating potential tax compliance gap.",Investigate whether tax was withheld outside payroll system or if withholding is genuinely missing; reconcile with broker settlement and correct payroll if needed.
EXC0102,STALE_COUNTRY,PAYROLL,E00135,G000421,2,Medium,Employee's country/tax jurisdiction in payroll system is stale and does not match current HRIS status.,Verify employee's current country assignment in HRIS and update payroll tax rules if jurisdiction has changed.
EXC0103,STALE_COUNTRY,PAYROLL,E00135,G000421,3,Medium,Employee's country/tax jurisdiction in payroll system is stale and does not match current HRIS status.,Verify employee's current country assignment in HRIS and update payroll tax rules if jurisdiction has changed.
EXC0104,STALE_COUNTRY,PAYROLL,E00135,G000421,6,Medium,Employee's country/tax jurisdiction in payroll system is stale and does not match current HRIS status.,Verify employee's current country assignment in HRIS and update payroll tax rules if jurisdiction has changed.
EXC0105,STALE_COUNTRY,PAYROLL,E00135,G000421,7,Medium,Employee's country/tax jurisdiction in payroll system is stale and does not match current HRIS status.,Verify employee's current country assignment in HRIS and update payroll tax rules if jurisdiction has changed.
EXC0106,STALE_COUNTRY,PAYROLL,E00135,G000421,8,Medium,Employee's country/tax jurisdiction in payroll system is stale and does not match current HRIS status.,Verify employee's current country assignment in HRIS and update payroll tax rules if jurisdiction has changed.
EXC0107,STALE_COUNTRY,PAYROLL,E00135,G000421,9,Medium,Employee's country/tax jurisdiction in payroll system is stale and does not match current HRIS status.,Verify employee's current country assignment in HRIS and update payroll tax rules if jurisdiction has changed.
EXC0108,STALE_COUNTRY,PAYROLL,E00135,G000422,3,Medium,Employee's country/tax jurisdiction in payroll system is stale and does not match current HRIS status.,Verify employee's current country assignment in HRIS and update payroll tax rules if jurisdiction has changed.
EXC0109,STALE_COUNTRY,PAYROLL,E00135,G000423,2,Medium,Employee's country/tax jurisdiction in payroll system is stale and does not match current HRIS status.,Verify employee's current country assignment in HRIS and update payroll tax rules if jurisdiction has changed.
EXC0110,WITHHOLDING_ROUNDING,BROKER,E00138,G000429,13,Low,Tax withholding amount differs from calculated value due to rounding convention differences between broker and payroll systems.,Document rounding variance and confirm it falls within acceptable tolerance; no correction needed if variance is immaterial.
EXC0111,ID_FORMAT_MISMATCH,PAYROLL,00141,G000438,15,Medium,"Grant ID format in payroll system does not match broker or HRIS format standard, preventing accurate matching.",Standardize grant ID format across systems or create mapping table to ensure consistent identification and reconciliation.
EXC0112,MISSING_PAYROLL,PAYROLL,E00142,G000442,6,High,"Vested RSU shares in broker system lack corresponding payroll tax withholding record, creating potential tax compliance gap.",Investigate whether tax was withheld outside payroll system or if withholding is genuinely missing; reconcile with broker settlement and correct payroll if needed.
EXC0113,WITHHOLDING_ROUNDING,BROKER,E00142,G000444,2,Low,Tax withholding amount differs from calculated value due to rounding convention differences between broker and payroll systems.,Document rounding variance and confirm it falls within acceptable tolerance; no correction needed if variance is immaterial.
EXC0114,MISSING_PAYROLL,PAYROLL,E00143,G000449,2,High,"Vested RSU shares in broker system lack corresponding payroll tax withholding record, creating potential tax compliance gap.",Investigate whether tax was withheld outside payroll system or if withholding is genuinely missing; reconcile with broker settlement and correct payroll if needed.
EXC0115,DUPLICATE_RELEASE,BROKER,E00146,G000457,5,High,"RSU tranche appears released multiple times in broker system, risking duplicate share issuance and tax withholding.","Verify broker records to confirm tranche was released only once; if duplicate exists, identify which record is correct and remove duplicate entry."
EXC0116,ID_FORMAT_MISMATCH,PAYROLL,00152,G000476,14,Medium,"Grant ID format in payroll system does not match broker or HRIS format standard, preventing accurate matching.",Standardize grant ID format across systems or create mapping table to ensure consistent identification and reconciliation.
EXC0117,ID_FORMAT_MISMATCH,PAYROLL,00153,G000482,7,Medium,"Grant ID format in payroll system does not match broker or HRIS format standard, preventing accurate matching.",Standardize grant ID format across systems or create mapping table to ensure consistent identification and reconciliation.
EXC0118,STALE_FMV_PAYROLL,PAYROLL,E00153,G000484,2,Medium,"FMV used in payroll tax calculation is older than current broker FMV, causing taxable income and withholding discrepancy.",Confirm vesting date and obtain correct FMV as of that date; recalculate taxable income and withholding if payroll FMV was incorrect.
EXC0119,DUPLICATE_RELEASE,BROKER,E00155,G000489,11,High,"RSU tranche appears released multiple times in broker system, risking duplicate share issuance and tax withholding.","Verify broker records to confirm tranche was released only once; if duplicate exists, identify which record is correct and remove duplicate entry."
EXC0120,STALE_FMV_PAYROLL,PAYROLL,E00155,G000490,6,Medium,"FMV used in payroll tax calculation is older than current broker FMV, causing taxable income and withholding discrepancy.",Confirm vesting date and obtain correct FMV as of that date; recalculate taxable income and withholding if payroll FMV was incorrect.
EXC0121,WITHHOLDING_ROUNDING,BROKER,E00156,G000492,4,Low,Tax withholding amount differs from calculated value due to rounding convention differences between broker and payroll systems.,Document rounding variance and confirm it falls within acceptable tolerance; no correction needed if variance is immaterial.
EXC0122,ID_FORMAT_MISMATCH,PAYROLL,00157,G000495,3,Medium,"Grant ID format in payroll system does not match broker or HRIS format standard, preventing accurate matching.",Standardize grant ID format across systems or create mapping table to ensure consistent identification and reconciliation.
