employee_id,offering_start,purchase_date,salary,contribution_pct,contribution,offering_start_fmv,purchase_date_fmv,lookback_fmv,purchase_price,shares_purchased,purchase_cost,market_value_at_purchase,discount_value,cash_refunded,irs_limit_capped
E00161,2022-01-01,2022-12-31,116000.0,0.15,8700.0,29.411,14.614,14.614,12.4219,175,2173.83,2557.45,383.62,6526.17,True
E00197,2022-01-01,2022-12-31,103000.0,0.15,7725.0,29.411,14.614,14.614,12.4219,251,3117.9,3668.11,550.21,4607.1,True
E00210,2022-01-01,2022-12-31,221000.0,0.1,11050.0,29.411,14.614,14.614,12.4219,0,0.0,0.0,0.0,11050.0,True
E00229,2022-01-01,2022-12-31,117000.0,0.05,2925.0,29.411,14.614,14.614,12.4219,235,2919.15,3434.29,515.14,5.85,False
E00239,2022-01-01,2022-12-31,154000.0,0.15,11550.0,29.411,14.614,14.614,12.4219,0,0.0,0.0,0.0,11550.0,True
E00245,2022-01-01,2022-12-31,226000.0,0.05,5650.0,29.411,14.614,14.614,12.4219,412,5117.82,6020.97,903.15,532.18,True
E00255,2022-01-01,2022-12-31,126000.0,0.05,3150.0,29.411,14.614,14.614,12.4219,253,3142.74,3697.34,554.6,7.26,False
E00267,2022-01-01,2022-12-31,132000.0,0.05,3300.0,29.411,14.614,14.614,12.4219,265,3291.8,3872.71,580.91,8.2,False
E00273,2022-01-01,2022-12-31,227000.0,0.05,5675.0,29.411,14.614,14.614,12.4219,410,5092.98,5991.74,898.76,582.02,True
E00311,2022-01-01,2022-12-31,150000.0,0.15,11250.0,29.411,14.614,14.614,12.4219,0,0.0,0.0,0.0,11250.0,True
E00332,2022-01-01,2022-12-31,189000.0,0.1,9450.0,29.411,14.614,14.614,12.4219,117,1453.36,1709.84,256.48,7996.64,True
E00334,2022-01-01,2022-12-31,204000.0,0.1,10200.0,29.411,14.614,14.614,12.4219,59,732.89,862.23,129.34,9467.11,True
E00352,2022-01-01,2022-12-31,194000.0,0.1,9700.0,29.411,14.614,14.614,12.4219,98,1217.35,1432.17,214.82,8482.65,True
E00360,2022-01-01,2022-12-31,93000.0,0.05,2325.0,29.411,14.614,14.614,12.4219,187,2322.9,2732.82,409.92,2.1,False
E00379,2022-01-01,2022-12-31,158000.0,0.15,11850.0,29.411,14.614,14.614,12.4219,0,0.0,0.0,0.0,11850.0,True
E00384,2022-01-01,2022-12-31,82000.0,0.15,6150.0,29.411,14.614,14.614,12.4219,373,4633.37,5451.02,817.65,1516.63,True
E00388,2022-01-01,2022-12-31,138000.0,0.15,10350.0,29.411,14.614,14.614,12.4219,47,583.83,686.86,103.03,9766.17,True
E00393,2022-01-01,2022-12-31,123000.0,0.1,6150.0,29.411,14.614,14.614,12.4219,373,4633.37,5451.02,817.65,1516.63,True
E00408,2022-01-01,2022-12-31,193000.0,0.1,9650.0,29.411,14.614,14.614,12.4219,102,1267.03,1490.63,223.6,8382.97,True
E00413,2022-01-01,2022-12-31,212000.0,0.05,5300.0,29.411,14.614,14.614,12.4219,426,5291.73,6225.56,933.83,8.27,False
E00474,2022-01-01,2022-12-31,97000.0,0.05,2425.0,29.411,14.614,14.614,12.4219,195,2422.27,2849.73,427.46,2.73,False
E00482,2022-01-01,2022-12-31,154000.0,0.1,7700.0,29.411,14.614,14.614,12.4219,253,3142.74,3697.34,554.6,4557.26,True
E00001,2022-01-01,2023-06-30,311000.0,0.05,7775.0,29.411,42.302,29.411,24.9993,311,7774.78,13155.92,5381.14,0.22,False
E00007,2022-01-01,2023-06-30,132000.0,0.1,6600.0,29.411,42.302,29.411,24.9993,264,6599.82,11167.73,4567.91,0.18,False
E00026,2022-01-01,2023-06-30,168000.0,0.1,8400.0,29.411,42.302,29.411,24.9993,336,8399.76,14213.47,5813.71,0.24,False
E00036,2022-01-01,2023-06-30,149000.0,0.1,7450.0,29.411,42.302,29.411,24.9993,298,7449.79,12606.0,5156.21,0.21,False
E00056,2022-01-01,2023-06-30,162000.0,0.05,4050.0,29.411,42.302,29.411,24.9993,162,4049.89,6852.92,2803.03,0.11,False
E00063,2022-01-01,2023-06-30,306000.0,0.05,7650.0,29.411,42.302,29.411,24.9993,306,7649.79,12944.41,5294.62,0.21,False
E00064,2022-01-01,2023-06-30,188000.0,0.15,14100.0,29.411,42.302,29.411,24.9993,564,14099.61,23858.33,9758.72,0.39,False
E00078,2022-01-01,2023-06-30,132000.0,0.1,6600.0,29.411,42.302,29.411,24.9993,264,6599.82,11167.73,4567.91,0.18,False
E00096,2022-01-01,2023-06-30,80000.0,0.1,4000.0,29.411,42.302,29.411,24.9993,160,3999.89,6768.32,2768.43,0.11,False
E00098,2022-01-01,2023-06-30,155000.0,0.05,3875.0,29.411,42.302,29.411,24.9993,155,3874.89,6556.81,2681.92,0.11,False
E00111,2022-01-01,2023-06-30,100000.0,0.05,2500.0,29.411,42.302,29.411,24.9993,100,2499.93,4230.2,1730.27,0.07,False
E00115,2022-01-01,2023-06-30,131000.0,0.1,6550.0,29.411,42.302,29.411,24.9993,262,6549.82,11083.12,4533.3,0.18,False
E00126,2022-01-01,2023-06-30,183000.0,0.05,4575.0,29.411,42.302,29.411,24.9993,183,4574.87,7741.27,3166.4,0.13,False
E00129,2022-01-01,2023-06-30,120000.0,0.15,9000.0,29.411,42.302,29.411,24.9993,360,8999.75,15228.72,6228.97,0.25,False
E00152,2022-01-01,2023-06-30,115000.0,0.1,5750.0,29.411,42.302,29.411,24.9993,230,5749.84,9729.46,3979.62,0.16,False
E00155,2022-01-01,2023-06-30,129000.0,0.05,3225.0,29.411,42.302,29.411,24.9993,129,3224.91,5456.96,2232.05,0.09,False
E00161,2022-01-01,2023-06-30,116000.0,0.15,8700.0,29.411,42.302,29.411,24.9993,348,8699.76,14721.1,6021.34,0.24,False
E00197,2022-01-01,2023-06-30,103000.0,0.15,7725.0,29.411,42.302,29.411,24.9993,309,7724.78,13071.32,5346.54,0.22,False
E00210,2022-01-01,2023-06-30,221000.0,0.1,11050.0,29.411,42.302,29.411,24.9993,442,11049.69,18697.48,7647.79,0.31,False
E00229,2022-01-01,2023-06-30,117000.0,0.05,2925.0,29.411,42.302,29.411,24.9993,117,2924.92,4949.33,2024.41,0.08,False
E00239,2022-01-01,2023-06-30,154000.0,0.15,11550.0,29.411,42.302,29.411,24.9993,462,11549.68,19543.52,7993.84,0.32,False
E00245,2022-01-01,2023-06-30,226000.0,0.05,5650.0,29.411,42.302,29.411,24.9993,226,5649.84,9560.25,3910.41,0.16,False
E00255,2022-01-01,2023-06-30,126000.0,0.05,3150.0,29.411,42.302,29.411,24.9993,126,3149.91,5330.05,2180.14,0.09,False
E00267,2022-01-01,2023-06-30,132000.0,0.05,3300.0,29.411,42.302,29.411,24.9993,132,3299.91,5583.86,2283.95,0.09,False
E00273,2022-01-01,2023-06-30,227000.0,0.05,5675.0,29.411,42.302,29.411,24.9993,227,5674.84,9602.55,3927.71,0.16,False
E00311,2022-01-01,2023-06-30,150000.0,0.15,11250.0,29.411,42.302,29.411,24.9993,450,11249.69,19035.9,7786.21,0.31,False
E00332,2022-01-01,2023-06-30,189000.0,0.1,9450.0,29.411,42.302,29.411,24.9993,378,9449.74,15990.16,6540.42,0.26,False
E00334,2022-01-01,2023-06-30,204000.0,0.1,10200.0,29.411,42.302,29.411,24.9993,408,10199.71,17259.22,7059.51,0.29,False
E00352,2022-01-01,2023-06-30,194000.0,0.1,9700.0,29.411,42.302,29.411,24.9993,388,9699.73,16413.18,6713.45,0.27,False
E00360,2022-01-01,2023-06-30,93000.0,0.05,2325.0,29.411,42.302,29.411,24.9993,93,2324.93,3934.09,1609.16,0.07,False
E00379,2022-01-01,2023-06-30,158000.0,0.15,11850.0,29.411,42.302,29.411,24.9993,474,11849.67,20051.15,8201.48,0.33,False
E00384,2022-01-01,2023-06-30,82000.0,0.15,6150.0,29.411,42.302,29.411,24.9993,246,6149.83,10406.29,4256.46,0.17,False
E00388,2022-01-01,2023-06-30,138000.0,0.15,10350.0,29.411,42.302,29.411,24.9993,414,10349.71,17513.03,7163.32,0.29,False
E00393,2022-01-01,2023-06-30,123000.0,0.1,6150.0,29.411,42.302,29.411,24.9993,246,6149.83,10406.29,4256.46,0.17,False
E00408,2022-01-01,2023-06-30,193000.0,0.1,9650.0,29.411,42.302,29.411,24.9993,386,9649.73,16328.57,6678.84,0.27,False
E00413,2022-01-01,2023-06-30,212000.0,0.05,5300.0,29.411,42.302,29.411,24.9993,212,5299.85,8968.02,3668.17,0.15,False
E00474,2022-01-01,2023-06-30,97000.0,0.05,2425.0,29.411,42.302,29.411,24.9993,97,2424.93,4103.29,1678.36,0.07,False
E00482,2022-01-01,2023-06-30,154000.0,0.1,7700.0,29.411,42.302,29.411,24.9993,308,7699.78,13029.02,5329.24,0.22,False
E00001,2022-01-01,2023-12-31,311000.0,0.05,7775.0,29.411,49.522,29.411,24.9993,311,7774.78,15401.34,7626.56,0.22,False
E00007,2022-01-01,2023-12-31,132000.0,0.1,6600.0,29.411,49.522,29.411,24.9993,264,6599.82,13073.81,6473.99,0.18,False
E00026,2022-01-01,2023-12-31,168000.0,0.1,8400.0,29.411,49.522,29.411,24.9993,336,8399.76,16639.39,8239.63,0.24,False
E00036,2022-01-01,2023-12-31,149000.0,0.1,7450.0,29.411,49.522,29.411,24.9993,298,7449.79,14757.56,7307.77,0.21,False
E00056,2022-01-01,2023-12-31,162000.0,0.05,4050.0,29.411,49.522,29.411,24.9993,162,4049.89,8022.56,3972.67,0.11,False
E00063,2022-01-01,2023-12-31,306000.0,0.05,7650.0,29.411,49.522,29.411,24.9993,306,7649.79,15153.73,7503.94,0.21,False
E00064,2022-01-01,2023-12-31,188000.0,0.15,14100.0,29.411,49.522,29.411,24.9993,286,7149.8,14163.29,7013.49,6950.2,True
E00078,2022-01-01,2023-12-31,132000.0,0.1,6600.0,29.411,49.522,29.411,24.9993,264,6599.82,13073.81,6473.99,0.18,False
E00096,2022-01-01,2023-12-31,80000.0,0.1,4000.0,29.411,49.522,29.411,24.9993,160,3999.89,7923.52,3923.63,0.11,False
E00098,2022-01-01,2023-12-31,155000.0,0.05,3875.0,29.411,49.522,29.411,24.9993,155,3874.89,7675.91,3801.02,0.11,False
E00111,2022-01-01,2023-12-31,100000.0,0.05,2500.0,29.411,49.522,29.411,24.9993,100,2499.93,4952.2,2452.27,0.07,False
E00115,2022-01-01,2023-12-31,131000.0,0.1,6550.0,29.411,49.522,29.411,24.9993,262,6549.82,12974.76,6424.94,0.18,False
E00126,2022-01-01,2023-12-31,183000.0,0.05,4575.0,29.411,49.522,29.411,24.9993,183,4574.87,9062.53,4487.66,0.13,False
E00129,2022-01-01,2023-12-31,120000.0,0.15,9000.0,29.411,49.522,29.411,24.9993,360,8999.75,17827.92,8828.17,0.25,False
E00152,2022-01-01,2023-12-31,115000.0,0.1,5750.0,29.411,49.522,29.411,24.9993,230,5749.84,11390.06,5640.22,0.16,False
E00155,2022-01-01,2023-12-31,129000.0,0.05,3225.0,29.411,49.522,29.411,24.9993,129,3224.91,6388.34,3163.43,0.09,False
E00161,2022-01-01,2023-12-31,116000.0,0.15,8700.0,29.411,49.522,29.411,24.9993,348,8699.76,17233.66,8533.9,0.24,False
E00197,2022-01-01,2023-12-31,103000.0,0.15,7725.0,29.411,49.522,29.411,24.9993,309,7724.78,15302.3,7577.52,0.22,False
E00210,2022-01-01,2023-12-31,221000.0,0.1,11050.0,29.411,49.522,29.411,24.9993,408,10199.71,20204.98,10005.27,850.29,True
E00229,2022-01-01,2023-12-31,117000.0,0.05,2925.0,29.411,49.522,29.411,24.9993,117,2924.92,5794.07,2869.15,0.08,False
E00239,2022-01-01,2023-12-31,154000.0,0.15,11550.0,29.411,49.522,29.411,24.9993,388,9699.73,19214.54,9514.81,1850.27,True
E00245,2022-01-01,2023-12-31,226000.0,0.05,5650.0,29.411,49.522,29.411,24.9993,226,5649.84,11191.97,5542.13,0.16,False
E00255,2022-01-01,2023-12-31,126000.0,0.05,3150.0,29.411,49.522,29.411,24.9993,126,3149.91,6239.77,3089.86,0.09,False
E00267,2022-01-01,2023-12-31,132000.0,0.05,3300.0,29.411,49.522,29.411,24.9993,132,3299.91,6536.9,3236.99,0.09,False
E00273,2022-01-01,2023-12-31,227000.0,0.05,5675.0,29.411,49.522,29.411,24.9993,227,5674.84,11241.49,5566.65,0.16,False
E00311,2022-01-01,2023-12-31,150000.0,0.15,11250.0,29.411,49.522,29.411,24.9993,400,9999.72,19808.8,9809.08,1250.28,True
E00332,2022-01-01,2023-12-31,189000.0,0.1,9450.0,29.411,49.522,29.411,24.9993,378,9449.74,18719.32,9269.58,0.26,False
E00334,2022-01-01,2023-12-31,204000.0,0.1,10200.0,29.411,49.522,29.411,24.9993,408,10199.71,20204.98,10005.27,0.29,False
E00352,2022-01-01,2023-12-31,194000.0,0.1,9700.0,29.411,49.522,29.411,24.9993,388,9699.73,19214.54,9514.81,0.27,False
E00360,2022-01-01,2023-12-31,93000.0,0.05,2325.0,29.411,49.522,29.411,24.9993,93,2324.93,4605.55,2280.62,0.07,False
E00379,2022-01-01,2023-12-31,158000.0,0.15,11850.0,29.411,49.522,29.411,24.9993,376,9399.74,18620.27,9220.53,2450.26,True
E00384,2022-01-01,2023-12-31,82000.0,0.15,6150.0,29.411,49.522,29.411,24.9993,246,6149.83,12182.41,6032.58,0.17,False
E00388,2022-01-01,2023-12-31,138000.0,0.15,10350.0,29.411,49.522,29.411,24.9993,414,10349.71,20502.11,10152.4,0.29,False
E00393,2022-01-01,2023-12-31,123000.0,0.1,6150.0,29.411,49.522,29.411,24.9993,246,6149.83,12182.41,6032.58,0.17,False
E00408,2022-01-01,2023-12-31,193000.0,0.1,9650.0,29.411,49.522,29.411,24.9993,386,9649.73,19115.49,9465.76,0.27,False
E00413,2022-01-01,2023-12-31,212000.0,0.05,5300.0,29.411,49.522,29.411,24.9993,212,5299.85,10498.66,5198.81,0.15,False
E00474,2022-01-01,2023-12-31,97000.0,0.05,2425.0,29.411,49.522,29.411,24.9993,97,2424.93,4803.63,2378.7,0.07,False
E00482,2022-01-01,2023-12-31,154000.0,0.1,7700.0,29.411,49.522,29.411,24.9993,308,7699.78,15252.78,7553.0,0.22,False
E00004,2024-01-01,2024-06-30,196000.0,0.1,9800.0,49.522,123.54,49.522,42.0937,232,9765.74,28661.28,18895.54,34.26,False
E00012,2024-01-01,2024-06-30,104000.0,0.15,7800.0,49.522,123.54,49.522,42.0937,185,7787.33,22854.9,15067.57,12.67,False
E00013,2024-01-01,2024-06-30,176000.0,0.15,13200.0,49.522,123.54,49.522,42.0937,313,13175.33,38668.02,25492.69,24.67,False
E00015,2024-01-01,2024-06-30,138000.0,0.1,6900.0,49.522,123.54,49.522,42.0937,163,6861.27,20137.02,13275.75,38.73,False
E00017,2024-01-01,2024-06-30,183000.0,0.05,4575.0,49.522,123.54,49.522,42.0937,108,4546.12,13342.32,8796.2,28.88,False
E00023,2024-01-01,2024-06-30,151000.0,0.05,3775.0,49.522,123.54,49.522,42.0937,89,3746.34,10995.06,7248.72,28.66,False
E00025,2024-01-01,2024-06-30,166000.0,0.1,8300.0,49.522,123.54,49.522,42.0937,197,8292.46,24337.38,16044.92,7.54,False
E00030,2024-01-01,2024-06-30,137000.0,0.1,6850.0,49.522,123.54,49.522,42.0937,162,6819.18,20013.48,13194.3,30.82,False
E00031,2024-01-01,2024-06-30,168000.0,0.1,8400.0,49.522,123.54,49.522,42.0937,199,8376.65,24584.46,16207.81,23.35,False
E00039,2024-01-01,2024-06-30,86000.0,0.15,6450.0,49.522,123.54,49.522,42.0937,153,6440.34,18901.62,12461.28,9.66,False
E00041,2024-01-01,2024-06-30,191000.0,0.05,4775.0,49.522,123.54,49.522,42.0937,113,4756.59,13960.02,9203.43,18.41,False
E00042,2024-01-01,2024-06-30,245000.0,0.05,6125.0,49.522,123.54,49.522,42.0937,145,6103.59,17913.3,11809.71,21.41,False
E00045,2024-01-01,2024-06-30,132000.0,0.05,3300.0,49.522,123.54,49.522,42.0937,78,3283.31,9636.12,6352.81,16.69,False
E00052,2024-01-01,2024-06-30,324000.0,0.1,16200.0,49.522,123.54,49.522,42.0937,384,16163.98,47439.36,31275.38,36.02,False
E00053,2024-01-01,2024-06-30,147000.0,0.1,7350.0,49.522,123.54,49.522,42.0937,174,7324.3,21495.96,14171.66,25.7,False
E00062,2024-01-01,2024-06-30,168000.0,0.05,4200.0,49.522,123.54,49.522,42.0937,99,4167.28,12230.46,8063.18,32.72,False
E00064,2024-01-01,2024-06-30,188000.0,0.05,4700.0,49.522,123.54,49.522,42.0937,111,4672.4,13712.94,9040.54,27.6,False
E00067,2024-01-01,2024-06-30,168000.0,0.1,8400.0,49.522,123.54,49.522,42.0937,199,8376.65,24584.46,16207.81,23.35,False
E00073,2024-01-01,2024-06-30,85000.0,0.05,2125.0,49.522,123.54,49.522,42.0937,50,2104.68,6177.0,4072.32,20.32,False
E00075,2024-01-01,2024-06-30,305000.0,0.05,7625.0,49.522,123.54,49.522,42.0937,181,7618.96,22360.74,14741.78,6.04,False
E00078,2024-01-01,2024-06-30,132000.0,0.1,6600.0,49.522,123.54,49.522,42.0937,156,6566.62,19272.24,12705.62,33.38,False
E00083,2024-01-01,2024-06-30,91000.0,0.1,4550.0,49.522,123.54,49.522,42.0937,108,4546.12,13342.32,8796.2,3.88,False
E00093,2024-01-01,2024-06-30,219000.0,0.1,10950.0,49.522,123.54,49.522,42.0937,260,10944.36,32120.4,21176.04,5.64,False
E00094,2024-01-01,2024-06-30,173000.0,0.1,8650.0,49.522,123.54,49.522,42.0937,205,8629.21,25325.7,16696.49,20.79,False
E00097,2024-01-01,2024-06-30,111000.0,0.1,5550.0,49.522,123.54,49.522,42.0937,131,5514.27,16183.74,10669.47,35.73,False
E00098,2024-01-01,2024-06-30,155000.0,0.15,11625.0,49.522,123.54,49.522,42.0937,276,11617.86,34097.04,22479.18,7.14,False
E00099,2024-01-01,2024-06-30,100000.0,0.05,2500.0,49.522,123.54,49.522,42.0937,59,2483.53,7288.86,4805.33,16.47,False
E00102,2024-01-01,2024-06-30,152000.0,0.05,3800.0,49.522,123.54,49.522,42.0937,90,3788.43,11118.6,7330.17,11.57,False
E00106,2024-01-01,2024-06-30,127000.0,0.1,6350.0,49.522,123.54,49.522,42.0937,150,6314.05,18531.0,12216.95,35.95,False
E00111,2024-01-01,2024-06-30,100000.0,0.05,2500.0,49.522,123.54,49.522,42.0937,59,2483.53,7288.86,4805.33,16.47,False
E00112,2024-01-01,2024-06-30,134000.0,0.1,6700.0,49.522,123.54,49.522,42.0937,159,6692.9,19642.86,12949.96,7.1,False
E00115,2024-01-01,2024-06-30,131000.0,0.1,6550.0,49.522,123.54,49.522,42.0937,155,6524.52,19148.7,12624.18,25.48,False
E00116,2024-01-01,2024-06-30,282000.0,0.05,7050.0,49.522,123.54,49.522,42.0937,167,7029.65,20631.18,13601.53,20.35,False
E00118,2024-01-01,2024-06-30,95000.0,0.1,4750.0,49.522,123.54,49.522,42.0937,112,4714.49,13836.48,9121.99,35.51,False
E00120,2024-01-01,2024-06-30,170000.0,0.05,4250.0,49.522,123.54,49.522,42.0937,100,4209.37,12354.0,8144.63,40.63,False
E00122,2024-01-01,2024-06-30,133000.0,0.1,6650.0,49.522,123.54,49.522,42.0937,157,6608.71,19395.78,12787.07,41.29,False
E00126,2024-01-01,2024-06-30,183000.0,0.05,4575.0,49.522,123.54,49.522,42.0937,108,4546.12,13342.32,8796.2,28.88,False
E00129,2024-01-01,2024-06-30,120000.0,0.15,9000.0,49.522,123.54,49.522,42.0937,213,8965.96,26314.02,17348.06,34.04,False
E00131,2024-01-01,2024-06-30,91000.0,0.05,2275.0,49.522,123.54,49.522,42.0937,54,2273.06,6671.16,4398.1,1.94,False
